,ogc_fid,GEOMETRY,in1,id,cultivo,originfid,NDVI_1,SAVI_1,NDVI_2,SAVI_2,NDVI_3,SAVI_3,NDVI_4,SAVI_4,NDVI_5,SAVI_5,NDVI_6,SAVI_6,target_combined,target_compined_maiz_soja_others,target_maiz_others,target_soja_others
0,1,b'\x01\x01\x00\x00\x00\xd8\x0eu\xc8\x9fDP\xc0\x99\xb4\x0e\xeb\xaf\x01A\xc0',014035,3,MAIZ,409,0.3020493984222412,0.23143526911735535,0.24272911250591278,0.19016911089420319,0.22942884266376495,0.17486472427845,0.29555514454841614,0.15999871492385864,0.30484941601753235,0.14580070972442627,0.2974483072757721,0.15586571395397186,MAIZ_3,MAIZ_3,1,0
1,2,b'\x01\x01\x00\x00\x00\xd4Q\xe5\xd6\x9cDP\xc0\x99\xb4\x0e\xeb\xaf\x01A\xc0',014035,3,MAIZ,409,0.29364776611328125,0.22577498853206635,0.24808087944984436,0.1921961009502411,0.24455207586288452,0.18260346353054047,0.4217990040779114,0.2090921252965927,0.3666287958621979,0.168170765042305,0.31344395875930786,0.16412809491157532,MAIZ_3,MAIZ_3,1,0
2,3,b'\x01\x01\x00\x00\x00\xd0\x94U\xe5\x99DP\xc0\x99\xb4\x0e\xeb\xaf\x01A\xc0',014035,3,MAIZ,409,0.29561904072761536,0.22712193429470062,0.247146874666214,0.19154180586338043,0.23508210480213165,0.17620572447776794,0.3444444239139557,0.177201047539711,0.3380751311779022,0.1573556810617447,0.31222057342529297,0.16358667612075806,MAIZ_3,MAIZ_3,1,0
3,4,b'\x01\x01\x00\x00\x00\xdc\xcb\x04\xba\xa2DP\xc0\xa0..\xce\xb5\x01A\xc0',014035,3,MAIZ,409,0.30772876739501953,0.23691894114017487,0.2597941756248474,0.20481069386005402,0.24244771897792816,0.18476977944374084,0.37406593561172485,0.17546391487121582,0.2877167761325836,0.1278415024280548,0.2739879786968231,0.1429968625307083,MAIZ_3,MAIZ_3,1,0
4,5,b'\x01\x01\x00\x00\x00\xd8\x0eu\xc8\x9fDP\xc0\xa0..\xce\xb5\x01A\xc0',014035,3,MAIZ,409,0.3095283508300781,0.2375207543373108,0.2592047452926636,0.20245400071144104,0.24609842896461487,0.1845369040966034,0.4245416224002838,0.19005191326141357,0.3098524808883667,0.1375158578157425,0.28013455867767334,0.14647254347801208,MAIZ_3,MAIZ_3,1,0
5,6,b'\x01\x01\x00\x00\x00\xd4Q\xe5\xd6\x9cDP\xc0\xa0..\xce\xb5\x01A\xc0',014035,3,MAIZ,409,0.29416197538375854,0.22725510597229004,0.28787291049957275,0.21934658288955688,0.2857440114021301,0.21004588901996613,0.4079405665397644,0.18421053886413574,0.3138447403907776,0.14100588858127594,0.34892088174819946,0.17455345392227173,MAIZ_3,MAIZ_3,1,0
6,7,b'\x01\x01\x00\x00\x00\xd0\x94U\xe5\x99DP\xc0\xa0..\xce\xb5\x01A\xc0',014035,3,MAIZ,409,0.2948935627937317,0.22775785624980927,0.26676830649375916,0.2049180418252945,0.25441625714302063,0.1893702894449234,0.396591454744339,0.18010041117668152,0.3414517939090729,0.1511841118335724,0.3376932442188263,0.16987904906272888,MAIZ_3,MAIZ_3,1,0
7,8,b'\x01\x01\x00\x00\x00\xcc\xd7\xc5\xf3\x96DP\xc0\xa0..\xce\xb5\x01A\xc0',014035,3,MAIZ,409,0.30120936036109924,0.23231635987758636,0.2732883393764496,0.20868924260139465,0.24407534301280975,0.18189594149589539,0.3204711675643921,0.15860359370708466,0.3173249661922455,0.14672109484672546,0.35582584142684937,0.1802225559949875,MAIZ_3,MAIZ_3,1,0
8,9,b'\x01\x01\x00\x00\x00\xdc\xcb\x04\xba\xa2DP\xc0\xa8\xa8M\xb1\xbb\x01A\xc0',014035,3,MAIZ,409,0.2964786887168884,0.2305302768945694,0.2609838545322418,0.20191748440265656,0.2449420690536499,0.18536320328712463,0.32846418023109436,0.16266997158527374,0.2543138861656189,0.12489910423755646,0.27209892868995667,0.14479286968708038,MAIZ_3,MAIZ_3,1,0
9,10,b'\x01\x01\x00\x00\x00\xd8\x0eu\xc8\x9fDP\xc0\xa8\xa8M\xb1\xbb\x01A\xc0',014035,3,MAIZ,409,0.2930665612220764,0.22769342362880707,0.2797977924346924,0.21280686557292938,0.25228220224380493,0.18574340641498566,0.31910306215286255,0.15166006982326508,0.26448675990104675,0.12924757599830627,0.2838508188724518,0.150067999958992,MAIZ_3,MAIZ_3,1,0
10,11,b'\x01\x01\x00\x00\x00\xd4Q\xe5\xd6\x9cDP\xc0\xa8\xa8M\xb1\xbb\x01A\xc0',014035,3,MAIZ,409,0.29490888118743896,0.22871284186840057,0.29134172201156616,0.2185281366109848,0.28432852029800415,0.20525987446308136,0.35087332129478455,0.16391241550445557,0.2828517258167267,0.13645614683628082,0.3061622381210327,0.1556715965270996,MAIZ_3,MAIZ_3,1,0
11,12,b'\x01\x01\x00\x00\x00\xd0\x94U\xe5\x99DP\xc0\xa8\xa8M\xb1\xbb\x01A\xc0',014035,3,MAIZ,409,0.29466700553894043,0.2285458743572235,0.2740185260772705,0.2069222331047058,0.25457990169525146,0.18601906299591064,0.33318787813186646,0.1570664495229721,0.2901994287967682,0.139459028840065,0.32293108105659485,0.16281616687774658,MAIZ_3,MAIZ_3,1,0
12,13,b'\x01\x01\x00\x00\x00\xcc\xd7\xc5\xf3\x96DP\xc0\xa8\xa8M\xb1\xbb\x01A\xc0',014035,3,MAIZ,409,0.29617443680763245,0.22900818288326263,0.27201104164123535,0.2055671364068985,0.24637681245803833,0.18158698081970215,0.3406315743923187,0.16454237699508667,0.32239964604377747,0.15313652157783508,0.32830187678337097,0.16491518914699554,MAIZ_3,MAIZ_3,1,0
13,14,"b'\x01\x01\x00\x00\x00\xdc\xcb\x04\xba\xa2DP\xc0\xb0""m\x94\xc1\x01A\xc0'",014035,3,MAIZ,409,0.3148643672466278,0.24154779314994812,0.3096157908439636,0.23031558096408844,0.26774805784225464,0.19559864699840546,0.30326366424560547,0.16054095327854156,0.2428283989429474,0.12883731722831726,0.24890218675136566,0.1354425698518753,MAIZ_3,MAIZ_3,1,0
14,15,"b'\x01\x01\x00\x00\x00\xd8\x0eu\xc8\x9fDP\xc0\xb0""m\x94\xc1\x01A\xc0'",014035,3,MAIZ,409,0.3080087900161743,0.2361009120941162,0.29493746161460876,0.2184937596321106,0.25793397426605225,0.1873646378517151,0.2665467858314514,0.1428663432598114,0.24448364973068237,0.13262048363685608,0.2616350054740906,0.14307047426700592,MAIZ_3,MAIZ_3,1,0
15,16,"b'\x01\x01\x00\x00\x00\xd4Q\xe5\xd6\x9cDP\xc0\xb0""m\x94\xc1\x01A\xc0'",014035,3,MAIZ,409,0.3064859211444855,0.23359563946723938,0.31597885489463806,0.23028279840946198,0.2787177264690399,0.19785082340240479,0.3039323687553406,0.16066570580005646,0.2546471953392029,0.13618816435337067,0.23984727263450623,0.13151884078979492,MAIZ_3,MAIZ_3,1,0
16,17,"b'\x01\x01\x00\x00\x00\xd0\x94U\xe5\x99DP\xc0\xb0""m\x94\xc1\x01A\xc0'",014035,3,MAIZ,409,0.3060550093650818,0.2328108698129654,0.30990415811538696,0.2251160442829132,0.29562631249427795,0.20673643052577972,0.30903568863868713,0.1599423587322235,0.2614061236381531,0.13663017749786377,0.24571429193019867,0.13230769336223602,MAIZ_3,MAIZ_3,1,0
17,18,"b'\x01\x01\x00\x00\x00\xcc\xd7\xc5\xf3\x96DP\xc0\xb0""m\x94\xc1\x01A\xc0'",014035,3,MAIZ,409,0.31294575333595276,0.23743513226509094,0.3205926716327667,0.23190432786941528,0.28270235657691956,0.19875678420066833,0.3130235970020294,0.16168370842933655,0.27187028527259827,0.141335591673851,0.25287356972694397,0.13566289842128754,MAIZ_3,MAIZ_3,1,0
18,19,b'\x01\x01\x00\x00\x00\xdc\xcb\x04\xba\xa2DP\xc0\xb7\x9c\x8cw\xc7\x01A\xc0',014035,3,MAIZ,409,0.2854967713356018,0.21942657232284546,0.2934155762195587,0.22065424919128418,0.2731040418148041,0.20120090246200562,0.3426622152328491,0.18696315586566925,0.2878679037094116,0.1545080840587616,0.289633572101593,0.15290647745132446,MAIZ_3,MAIZ_3,1,0
19,20,b'\x01\x01\x00\x00\x00\xd8\x0eu\xc8\x9fDP\xc0\xb7\x9c\x8cw\xc7\x01A\xc0',014035,3,MAIZ,409,0.2835368812084198,0.21847493946552277,0.27250996232032776,0.20479042828083038,0.23625129461288452,0.17458143830299377,0.3200628459453583,0.1748267263174057,0.2957550287246704,0.1619253158569336,0.3068946599960327,0.16328966617584229,MAIZ_3,MAIZ_3,1,0
20,21,b'\x01\x01\x00\x00\x00\xd4Q\xe5\xd6\x9cDP\xc0\xb7\x9c\x8cw\xc7\x01A\xc0',014035,3,MAIZ,409,0.28920668363571167,0.220625102519989,0.2740154266357422,0.20129606127738953,0.2600043714046478,0.1863052397966385,0.3195876181125641,0.17259694635868073,0.2864518463611603,0.15454313158988953,0.27940911054611206,0.14960452914237976,MAIZ_3,MAIZ_3,1,0
21,22,b'\x01\x01\x00\x00\x00\xd0\x94U\xe5\x99DP\xc0\xb7\x9c\x8cw\xc7\x01A\xc0',014035,3,MAIZ,409,0.2860104739665985,0.2158825546503067,0.27679726481437683,0.1999792903661728,0.24802803993225098,0.17754076421260834,0.3379283845424652,0.17391447722911835,0.2981471121311188,0.15573877096176147,0.3111405372619629,0.16141165792942047,MAIZ_3,MAIZ_3,1,0
22,23,b'\x01\x01\x00\x00\x00\xcc\xd7\xc5\xf3\x96DP\xc0\xb7\x9c\x8cw\xc7\x01A\xc0',014035,3,MAIZ,409,0.287790447473526,0.21707682311534882,0.28453880548477173,0.20492829382419586,0.28057554364204407,0.19813716411590576,0.36805012822151184,0.18665608763694763,0.35257411003112793,0.17927023768424988,0.3499513268470764,0.17809712886810303,MAIZ_3,MAIZ_3,1,0
23,24,b'\x01\x01\x00\x00\x00\xd4Q\xe5\xd6\x9cDP\xc0\xbf\x16\xacZ\xcd\x01A\xc0',014035,3,MAIZ,409,0.2904588282108307,0.2223038673400879,0.2862265110015869,0.2089620977640152,0.278789222240448,0.19944556057453156,0.3596233129501343,0.18212227523326874,0.31214311718940735,0.1612691730260849,0.30517926812171936,0.1529960036277771,MAIZ_3,MAIZ_3,1,0
24,25,"b'\x01\x01\x00\x00\x00\xa9v\x9eqj\x01P\xc0\xb0,\x06\xa47%A\xc0'",014084,1,SOJA,48,0.27948233485221863,0.20513735711574554,0.35533201694488525,0.26569709181785583,0.34002408385276794,0.2545582056045532,0.5226585865020752,0.22287431359291077,0.6544152498245239,0.1700289398431778,0.31169891357421875,0.12544815242290497,SOJA_1,SOJA_1,0,1
