,ogc_fid,GEOMETRY,in1,id,cultivo,originfid,NDVI_1,TNDVI_1,RVI_1,SAVI_1,TSAVI_1,MSAVI_1,MSAVI2_1,IPVI_1,LAIFromNDVILog_1,LAIFromReflLinear_1,LAIFromNDVIFormo_1,NDVI_2,TNDVI_2,RVI_2,SAVI_2,TSAVI_2,MSAVI_2,MSAVI2_2,IPVI_2,LAIFromNDVILog_2,LAIFromReflLinear_2,LAIFromNDVIFormo_2,NDVI_3,TNDVI_3,RVI_3,SAVI_3,TSAVI_3,MSAVI_3,MSAVI2_3,IPVI_3,LAIFromNDVILog_3,LAIFromReflLinear_3,LAIFromNDVIFormo_3,NDVI_4,TNDVI_4,RVI_4,SAVI_4,TSAVI_4,MSAVI_4,MSAVI2_4,IPVI_4,LAIFromNDVILog_4,LAIFromReflLinear_4,LAIFromNDVIFormo_4,NDVI_5,TNDVI_5,RVI_5,SAVI_5,TSAVI_5,MSAVI_5,MSAVI2_5,IPVI_5,LAIFromNDVILog_5,LAIFromReflLinear_5,LAIFromNDVIFormo_5,NDVI_6,TNDVI_6,RVI_6,SAVI_6,TSAVI_6,MSAVI_6,MSAVI2_6,IPVI_6,LAIFromNDVILog_6,LAIFromReflLinear_6,LAIFromNDVIFormo_6,target_combined,target_compined_maiz_soja_others,target_maiz_others,target_soja_others
150,151,b'\x01\x01\x00\x00\x00\x10tF1\xf0\xefO\xc0\x98\xfe\xb5\x9c\xb7+A\xc0',014084,3,MAIZ,242,0.3276725113391876,0.9097650647163391,1.974740743637085,0.2353278249502182,-1.0106687545776367,0.2088100016117096,0.21594835817813873,0.6638362407684326,0.47880077362060547,0.9727697968482971,0.29951104521751404,0.34337228536605835,0.9183530211448669,2.045866012573242,0.25873392820358276,-0.9074933528900146,0.23333384096622467,0.2412366420030594,0.6716861128807068,0.5186830163002014,1.1884527206420898,0.334848552942276,0.3369411528110504,0.9148448705673218,2.0163235664367676,0.23221620917320251,-1.089768409729004,0.2035837322473526,0.2110268622636795,0.668470561504364,0.5022092461585999,0.9595469236373901,0.3201081454753876,0.3652552366256714,0.9301909804344177,2.1508727073669434,0.18393781781196594,-1.7134093046188354,0.14922627806663513,0.15514494478702545,0.6826276183128357,0.5762267112731934,0.6784679889678955,0.38790076971054077,0.3705753982067108,0.933046281337738,2.1775052547454834,0.20759975910186768,-1.4972596168518066,0.1725427806377411,0.17978067696094513,0.6852877140045166,0.5905792713165283,0.8241469264030457,0.40150564908981323,0.4355113208293915,0.9672183394432068,2.543029308319092,0.19051499664783478,-1.9771804809570312,0.15089508891105652,0.15756630897521973,0.7177556753158569,0.77867591381073,0.770844042301178,0.592758297920227,MAIZ_3,MAIZ_3,1,0
331,332,b'\x01\x01\x00\x00\x00t46s1XO\xc0\x14!\xd1Z\xb3iA\xc0',006392,1,SOJA,167,0.4490140676498413,0.9741735458374023,2.629856824874878,0.17645756900310516,-2.1848015785217285,0.13728712499141693,0.14307145774364471,0.7245070338249207,0.8211549520492554,0.7008370161056519,0.6390595436096191,0.35098740458488464,0.9224898219108582,2.081604480743408,0.16228555142879486,-1.8867340087890625,0.12933064997196198,0.13402129709720612,0.6754937171936035,0.5384423136711121,0.5502369403839111,0.35279327630996704,0.15263518691062927,0.807858407497406,1.3602584600448608,0.1233862116932869,-0.8556226491928101,0.11303457617759705,0.11441905051469803,0.5763176083564758,0.09711292386054993,-0.3053479492664337,0.02368815988302231,0.2595190405845642,0.8715038895606995,1.7009471654891968,0.1728202849626541,-1.1884102821350098,0.1493910700082779,0.15356895327568054,0.6297594904899597,0.31767600774765015,0.43506595492362976,0.16911974549293518,0.6797330975532532,1.0861551761627197,5.244791507720947,0.1972092241048813,-2.723529100418091,0.1485784649848938,0.15590736269950867,0.8398665189743042,1.8643031120300293,0.8907099366188049,1.9641937017440796,0.6418865323066711,1.0685908794403076,4.584821701049805,0.1926891803741455,-2.665632963180542,0.14553384482860565,0.15253637731075287,0.8209432363510132,1.6311924457550049,0.8579180240631104,1.656643033027649,SOJA_1,SOJA_1,0,1
188,189,b'\x01\x01\x00\x00\x00Q\x07h\xf1\xe1yO\xc0\xbb\x88&\x8f\x8cEA\xc0',006392,2,MAIZ,213,0.3694915473461151,0.9324653148651123,2.1720430850982666,0.19907081127166748,-1.5764639377593994,0.16394855082035065,0.1707228720188141,0.6847457885742188,0.5876433849334717,0.7703455090522766,0.39871078729629517,0.3501090407371521,0.9220135807991028,2.077439308166504,0.1961343139410019,-1.5035908222198486,0.16282962262630463,0.16923999786376953,0.6750544905662537,0.5361489057540894,0.7321284413337708,0.35069578886032104,0.1804070621728897,0.8248679041862488,1.4402357339859009,0.14530469477176666,-0.8499916195869446,0.13306456804275513,0.13502193987369537,0.5902035236358643,0.15118515491485596,-0.06004384160041809,0.05579507350921631,0.43656402826309204,0.9677624106407166,2.549649238586426,0.17117218673229218,-2.1915218830108643,0.1330457627773285,0.13847500085830688,0.7182820439338684,0.7819420695304871,0.6654326319694519,0.5962801575660706,0.488770067691803,0.9943691492080688,2.9121339321136475,0.11550126224756241,-3.091392993927002,0.08441602438688278,0.08685352653265,0.7443850040435791,0.9542228579521179,0.4252470135688782,0.790618360042572,0.3700000047683716,0.9327378869056702,2.174603223800659,0.10741935670375824,-2.7546472549438477,0.07991533726453781,0.08204318583011627,0.6850000023841858,0.5890198945999146,0.3307739794254303,0.40002045035362244,MAIZ_2,MAIZ_2,1,0
420,421,b'\x01\x01\x00\x00\x00\xa3\xba\x93q\x81UO\xc0\xbc\x9e\xed\x05\xa1{A\xc0',006392,2,MAIZ,72,0.42716532945632935,0.9628942608833313,2.4914088249206543,0.18515357375144958,-1.9971961975097656,0.1463402658700943,0.15263324975967407,0.7135826945304871,0.7530465126037598,0.7353379130363464,0.565348744392395,0.332146018743515,0.9122203588485718,1.994666576385498,0.15443001687526703,-1.880202054977417,0.12309417128562927,0.12731638550758362,0.6660730242729187,0.4900502860546112,0.4908459484577179,0.3093582093715668,0.23972323536872864,0.8600716590881348,1.6306209564208984,0.178232803940773,-0.9789915680885315,0.15919604897499084,0.1628982275724411,0.6198616027832031,0.2741336226463318,0.3888079524040222,0.1373649686574936,0.36550194025039673,0.9303235411643982,2.1520979404449463,0.22972343862056732,-1.2654973268508911,0.1965261846780777,0.20470720529556274,0.682750940322876,0.5768890380859375,0.9695079326629639,0.3885253667831421,0.49425286054611206,0.9971222877502441,2.954545497894287,0.14522354304790497,-2.7205989360809326,0.10867174714803696,0.1125849038362503,0.7471264600753784,0.9736021161079407,0.5640319585800171,0.8134477138519287,0.46633419394493103,0.9830229878425598,2.747663736343384,0.13566017150878906,-2.741217613220215,0.10128570348024368,0.10469277948141098,0.7331671118736267,0.87758868932724,0.5064210295677185,0.7021774649620056,MAIZ_2,MAIZ_2,1,0
382,383,b'\x01\x01\x00\x00\x00\x84\x92+\xf0G}O\xc0\x02#\x00\xd0o\x87A\xc0',006392,2,MAIZ,87,0.42877694964408875,0.9637307524681091,2.5012593269348145,0.13990609347820282,-2.53904390335083,0.10581422597169876,0.10944236814975739,0.7143884897232056,0.7579594254493713,0.5063909292221069,0.5705715417861938,0.25748971104621887,0.8703388571739197,1.6935653686523438,0.13056860864162445,-1.728225827217102,0.10555258393287659,0.10843922197818756,0.6287448406219482,0.31314992904663086,0.27047494053840637,0.16574923694133759,0.20671187341213226,0.8406615853309631,1.5211520195007324,0.1638370007276535,-0.8689931035041809,0.14932779967784882,0.15196500718593597,0.6033559441566467,0.20438918471336365,0.16427788138389587,0.08962669223546982,0.3481753468513489,0.9209643602371216,2.068309783935547,0.24318692088127136,-1.0582703351974487,0.21419796347618103,0.222245991230011,0.6740877032279968,0.5311133861541748,1.057542085647583,0.3461039066314697,0.434447318315506,0.9666681289672852,2.5363638401031494,0.18250541388988495,-2.057384490966797,0.14349888265132904,0.14964263141155243,0.7172236442565918,0.7753825187683105,0.7252200841903687,0.5892136096954346,0.462890625,0.981269896030426,2.7236363887786865,0.11802788823843002,-2.9681363105773926,0.08684079349040985,0.08940024673938751,0.7314453125,0.8661870956420898,0.4257490038871765,0.6892827153205872,MAIZ_2,MAIZ_2,1,0
281,282,b'\x01\x01\x00\x00\x00w\xbde\xc8}\x82O\xc0o/2\xde.kA\xc0',006392,1,SOJA,130,0.34966376423835754,0.9217720627784729,2.0753324031829834,0.1541937291622162,-1.9800982475280762,0.12179648131132126,0.12606802582740784,0.6748318672180176,0.5349878072738647,0.5100229382514954,0.3496353328227997,0.3471343219280243,0.920399010181427,2.063417434692383,0.1785174310207367,-1.67634117603302,0.1453426033258438,0.1508471518754959,0.6735671758651733,0.5284099578857422,0.6290453672409058,0.3436462879180908,0.1948881894350052,0.8335995674133301,1.4841270446777344,0.15687412023544312,-0.8445476293563843,0.14370392262935638,0.145999014377594,0.5974441170692444,0.1802257001399994,0.0665261447429657,0.07398486137390137,0.3511526882648468,0.9225793480873108,2.0823893547058105,0.1972350776195526,-1.4979851245880127,0.16385464370250702,0.17033080756664276,0.6755763292312622,0.5388742089271545,0.7399110198020935,0.35318875312805176,0.6380316615104675,1.0667856931686401,4.525345802307129,0.18511050939559937,-2.7279765605926514,0.1391766220331192,0.14560389518737793,0.8190158605575562,1.6094783544540405,0.8152850270271301,1.6278173923492432,0.22760984301567078,0.8530004620552063,1.5893648862838745,0.08862728625535965,-2.2418313026428223,0.06825124472379684,0.06966157257556915,0.6138049364089966,0.24813829362392426,0.10666906833648682,0.11912170052528381,SOJA_1,SOJA_1,0,1
12,13,b'\x01\x01\x00\x00\x008\xbf\x9d\x08\xbd\xd2O\xc0 \x93+\x8bu\x02A\xc0',014084,5,GIRASOL,258,0.3285635709762573,0.9102546572685242,1.9786885976791382,0.25705674290657043,-0.8389871716499329,0.23455514013767242,0.24160310626029968,0.6642817854881287,0.48103436827659607,1.161816120147705,0.3014586269855499,0.35638198256492615,0.9254090785980225,2.107433319091797,0.27635011076927185,-0.8440093398094177,0.2517887055873871,0.26024219393730164,0.6781910061836243,0.5526094436645508,1.3650519847869873,0.3658354580402374,0.33086565136909485,0.9115183353424072,1.9889363050460815,0.226204052567482,-1.1083712577819824,0.19777236878871918,0.2048940807580948,0.6654328107833862,0.48682132363319397,0.9070577621459961,0.30652204155921936,0.2830188572406769,0.8848835229873657,1.7894736528396606,0.09981642663478851,-2.4164843559265137,0.07589630037546158,0.07771424949169159,0.6415094137191772,0.3711763620376587,0.22199498116970062,0.2101806253194809,0.3751600682735443,0.935499906539917,2.200819730758667,0.21639586985111237,-1.4366053342819214,0.18117551505565643,0.1889302134513855,0.6875800490379333,0.6030660271644592,0.8854320645332336,0.413460910320282,0.42363110184669495,0.9610573053359985,2.4699997901916504,0.2443062663078308,-1.4212603569030762,0.20513497292995453,0.21523264050483704,0.7118155360221863,0.742332398891449,1.1134978532791138,0.5540109276771545,GIRASOL_5,OTHER,0,0
162,163,b'\x01\x01\x00\x00\x00\xa0\x0b\x99\xb9\xde\xcaO\xc0\x18\x19\t^\x8a8A\xc0',014084,3,MAIZ,274,0.3720873296260834,0.9338561296463013,2.1851563453674316,0.2506885528564453,-1.1217634677886963,0.21876956522464752,0.22785574197769165,0.6860436797142029,0.594684898853302,1.1366419792175293,0.4054243862628937,0.470938503742218,0.9853621125221252,2.7802786827087402,0.2921895384788513,-1.253900170326233,0.25082331895828247,0.26494237780570984,0.7354692220687866,0.8929792046546936,1.5092411041259766,0.7196947336196899,0.40776151418685913,0.952765166759491,2.3770179748535156,0.2542075514793396,-1.2668859958648682,0.2175624966621399,0.22785373032093048,0.7038807272911072,0.6952030062675476,1.1827548742294312,0.5050052404403687,0.40495526790618896,0.9512913823127747,2.3610918521881104,0.2995133697986603,-0.9178876876831055,0.2694987654685974,0.2808695435523987,0.7024776339530945,0.6870307326316833,1.597051978111267,0.4966541826725006,0.4643705487251282,0.9820237159729004,2.733924627304077,0.17549371719360352,-2.2576472759246826,0.1357855349779129,0.14152942597866058,0.7321853041648865,0.8710758090019226,0.7039170265197754,0.69480299949646,0.4514106810092926,0.97540283203125,2.645714282989502,0.13766731321811676,-2.6587982177734375,0.10331465303897858,0.10682766884565353,0.7257053256034851,0.8288301825523376,0.5084260106086731,0.6475382447242737,MAIZ_3,MAIZ_3,1,0
174,175,b'\x01\x01\x00\x00\x00\x18\xb5\x18(v\xcaO\xc0\xe8\xe1\xf4/\x1c8A\xc0',014084,3,MAIZ,329,0.3602602183818817,0.9275021553039551,2.1262712478637695,0.2294280081987381,-1.24068021774292,0.19691595435142517,0.2049597054719925,0.680130124092102,0.562883198261261,0.9626539945602417,0.375384658575058,0.34632307291030884,0.9199581742286682,2.05961537361145,0.25370919704437256,-0.9628481864929199,0.22677138447761536,0.23484139144420624,0.673161506652832,0.526306688785553,1.145177960395813,0.3417380452156067,0.3314323127269745,0.9118291139602661,1.9914697408676147,0.23710638284683228,-1.0168908834457397,0.21017876267433167,0.21748612821102142,0.6657161712646484,0.4882495105266571,0.9914259314537048,0.3077755272388458,0.333682119846344,0.9130619764328003,2.001570463180542,0.24459274113178253,-0.9670917391777039,0.218506321310997,0.22595462203025818,0.6668410897254944,0.4939339756965637,1.0553771257400513,0.31277981400489807,0.36571425199508667,0.9304376840591431,2.1531529426574707,0.1622535139322281,-1.9646865129470825,0.12839888036251068,0.1331416666507721,0.6828571557998657,0.5774593353271484,0.5652779340744019,0.38906341791152954,0.3854818344116211,0.9410004615783691,2.254582405090332,0.14004242420196533,-2.3457789421081543,0.1073324978351593,0.11094556003808975,0.6927409172058105,0.6315903067588806,0.4778009355068207,0.4411811828613281,MAIZ_3,MAIZ_3,1,0
35,36,b'\x01\x01\x00\x00\x00\xb2\xec\xca\x80kpO\xc0\xa3\xd4\xb2\xe5\x1a\x03A\xc0',014084,2,MAIZ,1,0.3643926680088043,0.9297271966934204,2.146596908569336,0.144862562417984,-2.1781301498413086,0.11248404532670975,0.11631568521261215,0.682196319103241,0.5739134550094604,0.48173701763153076,0.3857218027114868,0.2913883924484253,0.8896001577377319,1.822420597076416,0.15850859880447388,-1.5800855159759521,0.13031111657619476,0.1344771832227707,0.6456941962242126,0.3907323181629181,0.44683393836021423,0.22574833035469055,0.18763962388038635,0.8292403817176819,1.4619615077972412,0.14577710628509521,-0.9160299301147461,0.13185015320777893,0.134046733379364,0.593819797039032,0.1656145304441452,0.002978103468194604,0.0647500604391098,0.4143473207950592,0.9562150835990906,2.4149932861328125,0.20997218787670135,-1.6875600814819336,0.17102985084056854,0.17885822057724,0.7071736454963684,0.7145704627037048,0.8738270401954651,0.5249707698822021,0.5417185425758362,1.020646095275879,3.3641304969787598,0.11244184523820877,-3.292356252670288,0.0813615694642067,0.08364106714725494,0.7708593010902405,1.1535521745681763,0.42935001850128174,1.033155083656311,0.4978213310241699,0.9989100694656372,2.9826464653015137,0.11583305150270462,-3.115795135498047,0.08455877751111984,0.08700674772262573,0.748910665512085,0.9863597750663757,0.43004950881004333,0.8285735249519348,MAIZ_2,MAIZ_2,1,0
